id_str,group,topic_tweet_count,topic_orig_tweet_count,statuses_count,favourites_count,classifier_score,followers_count,friends_count,friend_follow_ratio,days_since_create,condition,block
27837138,22,2,0,81942,39574,0.308,85,846,9.84883720930233,4751,c,22_88
606140074,22,2,0,11245,54077,0.666,85,383,4.46511627906977,3619,t,22_34
825675766331428864,22,4,2,4650,28288,0.7347,85,367,4.27906976744186,1926,t,22_28
493581795,22,2,0,3647,31139,0.15,82,247,2.98795180722892,3736,t,22_74
264564524,22,2,2,13535,12318,0.172,81,705,8.60975609756098,4077,t,22_77
4689810914,22,2,0,8600,11895,0.164,81,551,6.73170731707317,2320,t,22_71
67873605,22,2,2,3300,18024,0.116,81,347,4.24390243902439,4643,t,22_56
442477600,22,7,0,99154,22197,0.158,80,362,4.48148148148148,3793,c,22_33
844588079386112002,22,2,0,1268,5682,0.03,80,225,2.79012345679012,1874,t,22_114
134780336,22,5,0,5161,12390,0.118,79,831,10.4,4403,c,22_40
727221362,22,2,0,26673,27657,0.334,79,260,3.2625,3570,t,22_109
24791810,22,6,1,7526,17015,0.228,78,411,5.21518987341772,4751,t,22_78
802519639767056388,22,2,0,29287,6978,0.264,78,370,4.69620253164557,1990,t,22_62
905842124645683200,22,2,0,6774,2004,0.08,77,568,7.29487179487179,1705,c,22_46
3062076383,22,4,0,23857,45752,0.478,77,513,6.58974358974359,2630,t,22_30
494951902,22,2,0,2009,2846,0.166,77,169,2.17948717948718,3734,t,22_112
2597168593,22,8,0,22956,39837,0.588,75,355,4.68421052631579,2870,c,22_108
4589147716,22,2,0,55460,85680,0.466,75,278,3.67105263157895,2328,c,22_62
312333086,22,2,0,11913,1993,0.084,75,272,3.59210526315789,3990,t,22_23
871732683839295488,22,5,1,25746,168210,0.432,74,228,3.05333333333333,1799,t,22_13
92283015,22,4,0,34984,11645,0.18,74,206,2.76,4549,t,22_75
476250264,22,3,1,7379,22330,0.7347,73,775,10.4864864864865,3755,t,22_34
4250969075,22,2,0,9087,6772,0.168,71,1087,15.1111111111111,2360,t,22_76
901105913855180800,22,2,0,69654,540,0.428,71,783,10.8888888888889,1718,c,22_41
836427515430322176,22,4,0,5172,16150,0.098,71,639,8.88888888888889,1897,c,22_113
77959015,22,3,0,3872,6531,0.046,71,291,4.05555555555556,4607,t,22_118
2812122187,22,8,0,46048,4466,0.284,70,280,3.95774647887324,2793,t,22_33
3052598823,22,2,1,4568,28500,0.538,69,331,4.74285714285714,2633,t,22_119
97969714,22,8,0,4620,4250,0.43,68,739,10.7246376811594,4524,c,22_40
1087031217843814400,22,3,2,5262,3107,0.228,67,1239,15.6242113564669,1205,c,22_36
1063431893868261377,22,2,0,14376,39305,0.222,67,583,8.58823529411765,1270,t,22_35
309981931,22,3,0,8172,131213,0.346,67,181,2.67647058823529,3994,t,22_54
1668983874,22,4,0,35214,13836,0.188,66,347,5.19402985074627,3191,c,22_24
2358234360,22,3,0,25495,28676,0.376,66,231,3.46268656716418,2997,c,22_83
1915006932,22,2,2,2660,1195,0.296,65,1360,15.6242113564669,3145,c,22_36
97163560,22,2,0,2825,20841,0.132,65,342,5.1969696969697,4528,t,22_37
2684292426,22,4,0,10813,2719,0.432,64,282,4.35384615384615,2844,t,22_73
179844835,22,3,3,4830,29,0.09,64,166,2.56923076923077,4283,t,22_43
30077339,22,6,0,16972,31928,0.22,64,150,2.32307692307692,4751,c,22_75
2958516782,22,2,0,7217,20390,0.146,63,162,2.546875,2682,c,22_31
